STATION_NU,PROV_TERR_,LATITUDE,LONGITUDE,node_id,reach_id
08NJ107,BC,49.514438629150300,-117.286941528320000,78268300050831,78268300051
08NJ009,BC,49.509170532226500,-117.279441833495000,78268300060013,78268300063
08NJ036,BC,49.517501831054700,-117.285827636719000,78268300060023,78268300063
08NJ060,BC,49.520000457763700,-117.280281066895000,78268300060033,78268300063
08NJ124,BC,49.523891448974600,-117.275001525879000,78268300060083,78268300063
08NJ076,BC,49.549720764160100,-117.255828857422000,78268300060253,78268300063
08NJ077,BC,49.564998626708900,-117.238609313965000,78268300060353,78268300063
08NJ078,BC,49.579441070556500,-117.216110229492000,78268300060473,78268300063
08NJ079,BC,49.596668243408200,-117.178329467772000,78268300070113,78268300073
08NJ119,BC,49.603328704833900,-117.171669006347000,78268300070153,78268300073
08NJ049,BC,49.606941223144500,-117.163063049315000,78268300070183,78268300073
08NJ085,BC,49.607780456542900,-117.141113281250000,78268300070253,78268300073
08NJ086,BC,49.610279083252000,-117.112220764160000,78268300070403,78268300073
08NJ171,BC,49.614719390869000,-117.104721069335000,78268300070413,78268300073
08NJ141,BC,49.612781524658200,-117.102218627930000,78268300070423,78268300073
08NJ087,BC,49.612499237060400,-117.057502746582000,78268300080073,78268300083
08NJ024,BC,49.599998474121100,-117.029167175292000,78268300080193,78268300083
08NJ022,BC,49.599998474121100,-117.019996643065000,78268300080213,78268300083
08NJ080,BC,49.616668701171900,-117.003890991210000,78268300080283,78268300083
08NJ125,BC,49.609439849853500,-116.998329162597000,78268300080303,78268300083
08NJ081,BC,49.619171142578000,-116.989997863770000,78268300080333,78268300083
08NJ082,BC,49.621669769287100,-116.979171752930000,78268300080383,78268300083
08NJ096,BC,49.621669769287100,-116.974716186522000,78268300080393,78268300083
08NH018,BC,49.621109008789000,-116.957778930664000,78268300080463,78268300083
08NJ044,BC,49.620830535888700,-116.947219848632000,78268300080503,78268300083
08NH053,BC,49.630001068115100,-116.944717407227000,78268300080513,78268300083
08NH118,BC,50.232860565185400,-116.955192565917000,78268400070471,78268400071
08NH127,BC,50.255409240722600,-116.948562622070000,78268400070611,78268400071
08NH126,BC,50.251388549804700,-116.947502136230000,78268400080014,78268400084
08NH108,BC,50.252780914306500,-116.940277099609000,78268400090033,78268400093
08NH001,BC,50.285831451416000,-116.945556640624000,78268400090223,78268400093
08NH110,BC,50.304168701171900,-116.938888549805000,78268400090333,78268400093
08NH060,BC,49.252780914306500,-116.678062438965000,78268500060011,78268500061
08NH098,BC,49.186939239502000,-116.627220153809000,78268500070081,78268500071
08NH094,BC,49.150279998779200,-116.598609924315000,78268500080041,78268500081
08NH095,BC,49.156108856201200,-116.588058471680000,78268500080081,78268500081
08NH129,BC,49.117221832275300,-116.577499389647000,78268500080311,78268500081
08NH028,BC,49.084999084472600,-116.579170227050000,78268500090121,78268500091
08NH069,BC,49.044998168945200,-116.512496948242000,78268500100201,78268500101
08NH021,ID,49.000000000000000,-116.502777099609000,78268500110081,78268500111
08NH031,ID,48.904998779296900,-116.401939392090000,78268500150051,78268500151
08NG039,MT,48.866668701171900,-115.233329772949000,78268500320953,78268500323
08NG079,BC,48.999721527099600,-115.169998168944000,78268500330783,78268500333
08NG042,BC,49.014438629150300,-115.174171447754000,78268500330913,78268500333
08NG005,BC,49.420280456542900,-115.419441223145000,78268700050101,78268700051
08NG065,BC,49.612030029296900,-115.635337829590000,78268700060861,78268700061
08NG053,BC,49.910560607910100,-115.735557556152000,78268900050161,78268900051
08NG022,BC,50.095829010009800,-115.790283203124000,78268900070161,78268900071
08NF002,BC,50.147781372070200,-115.799171447754000,78268900080041,78268900081
08NE098,BC,49.319171905517500,-117.651939392090000,78269100010021,78269100011
08NE002,BC,49.332218170166000,-117.675827026367000,78269100010181,78269100011
08NE062,BC,49.347221374511600,-117.731666564940000,78269100010401,78269100011
08NE067,BC,49.347221374511600,-117.748329162597000,78269100010461,78269100011
08NE105,BC,49.338890075683600,-117.764167785645000,78269100020043,78269100023
08NE103,BC,49.338329315185400,-117.770561218262000,78269100020063,78269100023
08NE085,BC,49.344440460205000,-117.870826721190000,78269100040373,78269100043
08NE046,BC,49.874168395996100,-118.093063354492000,78269100110313,78269100113
08NE102,BC,49.872051239013700,-118.081687927245000,78269100110333,78269100113
08NE005,BC,49.987781524658200,-117.898612976074000,78269100130293,78269100133
08NE034,BC,50.026390075683600,-117.901390075684000,78269100130493,78269100133
08ND006,BC,50.853061676025300,-118.106666564940000,78269100260103,78269100263
08ND002,BC,51.008060455322300,-118.219169616699000,78269100280091,78269100281
08ND004,BC,51.014438629150300,-118.237777709960000,78269100280181,78269100281
08ND011,BC,51.041938781738300,-118.213058471680000,78269100280411,78269100281
08ND025,BC,51.044441223144500,-118.197219848632000,78269100280471,78269100281
08ND026,BC,51.146610260009800,-118.200531005859000,78269100300043,78269100303
08ND015,BC,52.011390686035100,-118.567497253417000,78269100400533,78269100403
08ND007,BC,52.055278778076200,-118.584167480469000,78269100410011,78269100411
08ND017,BC,52.078060150146400,-118.561668395995000,78269100410171,78269100411
08NE068,BC,50.740001678466700,-117.732498168944000,78269100440024,78269100444
08NC002,BC,52.189170837402300,-118.453330993652000,78269200020303,78269200023
